time_step,timestamp,P_cmd,total_P_actual,total_available_energy,total_available_power,P_氢燃料电池,SOC_氢燃料电池,E_available_氢燃料电池,P_铁硫电池,SOC_铁硫电池,E_available_铁硫电池,P_钠电池,SOC_钠电池,E_available_钠电池,P_钒液流电池,SOC_钒液流电池,E_available_钒液流电池
30,2025-12-13 09:28:43.740879,54.89149060562968,54.89198478562519,201.3826552538238,88,30.46505390715817,79.66772975008999,95.60127570010799,2.3360443074661865,84.66344802694866,8.466344802694866,19.999929828868645,89.82521722043879,89.82521722043879,2.0909567421321893,74.73890021325712,7.473890021325712
31,2025-12-13 09:28:44.740879,47.69591719578979,47.69591719578979,201.36672774456736,88,25.898030347127964,79.66141931384556,95.59370317661467,1.9771653815358396,84.65747832470971,8.46574783247097,18.021675940966794,89.82010903564826,89.82010903564826,1.7990455261591933,74.73334760360848,7.4733347603608475
32,2025-12-13 09:28:45.740879,52.689302873396365,52.68930287339637,201.35289480509473,88,28.609324930459795,79.65444823077283,95.5853378769274,2.184149566077976,84.65088367022277,8.465088367022277,19.90845038362763,89.81446605084564,89.81446605084564,1.9873779932309659,74.72721372091333,7.472721372091332
33,2025-12-13 09:28:46.740879,45.62674819661352,45.62674819661351,201.33761366688665,88,24.774463789467326,79.64841156805609,95.5780938816673,1.8913738185857116,84.64517300048067,8.464517300048067,17.239936584361576,89.8095794475054,89.8095794475054,1.7209740041989012,74.72190207275221,7.472190207275221
34,2025-12-13 09:28:47.740879,39.44946810483981,39.44946810483981,201.324380836496,88,21.42029959611469,79.64319219680948,95.57183063617137,1.6352991727984634,84.64023550297826,8.464023550297826,14.905902863044913,89.80535441834921,89.80535441834921,1.4879664728817437,74.71730958363838,7.471730958363838
35,2025-12-13 09:28:48.740879,43.384718876392924,43.38471887639292,201.31293956318225,88,23.5570480554431,79.63745217535347,95.56494261042417,1.798420750263545,84.63480548863568,8.463480548863568,16.39286178686165,89.80070791557516,89.80070791557516,1.636388283824624,74.71225900251547,7.471225900251547
36,2025-12-13 09:28:49.740879,37.056969174112915,37.056969174112915,201.30035697511445,88,20.121188842928362,79.63254935156134,95.5590592218736,1.5361113955163999,84.63016747113714,8.463016747113715,14.00195978547248,89.79673910611216,89.79673910611216,1.3977091501956709,74.70794508538523,7.470794508538523
37,2025-12-13 09:28:50.740879,35.553973256711494,35.553973256711494,201.28960958363797,88,19.305079405636228,79.62784538484456,95.55341446181347,1.473803222738755,84.6257175821796,8.46257175821796,13.434078270992613,89.79293126079725,89.79293126079725,1.3410123573439028,74.7038061583564,7.47038061583564
38,2025-12-13 09:28:51.740879,29.624931419499504,29.624931419499507,201.27929809666432,88,16.08572079893257,79.62392586223274,95.54871103467929,1.2280253123870462,84.62200977628471,8.462200977628472,11.193808094917378,89.78975841269778,89.78975841269778,1.1173772132625115,74.70035746325374,7.470035746325374
39,2025-12-13 09:28:52.740879,28.55952580894914,28.55952580894914,201.27070617133091,88,15.507219462989756,79.62014729998542,95.5441767599825,1.1838584942499737,84.61843532430932,8.461843532430931,10.791259542617222,89.78669966566189,89.78669966566189,1.0771883090921865,74.69703280797876,7.469703280797876
40,2025-12-13 09:28:53.740879,27.387551937230956,27.387551937230956,201.26242323887323,88,14.870854744893418,79.61652379736726,95.53982855684072,1.1352745323019333,84.6150075630403,8.461500756304028,10.348442214095202,89.78376643374179,89.78376643374179,1.0329804459403995,74.69384459672585,7.469384459672586
41,2025-12-13 09:28:54.740879,26.635866897397797,26.635866897397797,201.25448020655915,88,14.462698712903464,79.61299974797328,95.53559969756793,1.1041127935603174,84.6116738891467,8.46116738891467,10.064430251642195,89.78091370407863,89.78091370407863,1.004625139291822,74.69074390185149,7.469074390185149
42,2025-12-13 09:28:55.740879,25.271461082197504,25.271461082197504,201.2467551807464,88,13.72184932576573,79.60965621743581,95.53158746092296,1.0475527761042926,84.60851098825266,8.460851098825266,9.548898730620929,89.77820710013005,89.77820710013005,0.9531602497065527,74.68780204922894,7.4687802049228935
43,2025-12-13 09:28:56.740879,19.53324634200429,19.533246342004286,201.23942586480115,88,10.606119693756431,79.60707188027847,95.52848625633416,0.8096904100662159,84.60606627083096,8.460606627083095,7.380706082232435,89.77611506325867,89.77611506325867,0.7367301559492028,74.68552819072292,7.468552819072292
