time_seconds,time_hours,total_power,氢燃料电池_power,氢燃料电池_SOC,氢燃料电池_energy,铁硫电池_power,铁硫电池_SOC,铁硫电池_energy,钠电池_power,钠电池_SOC,钠电池_energy,钒液流电池_power,钒液流电池_SOC,钒液流电池_energy
105,0.029166666666666667,-100.0,-60.0,75.83125000000074,151.66250000000147,-5.0,86.13416666666615,86.13416666666615,-29.998244778896826,92.85745988163553,92.85745988163553,-5.0,82.13124999999988,82.13124999999987
106,0.029444444444444443,-100.0,-60.0,75.83916666666741,151.67833333333482,-5.0,86.13544444444392,86.13544444444393,-29.998241950274235,92.86562607049201,92.86562607049201,-5.0,82.13249999999988,82.13249999999988
107,0.029722222222222223,-100.0,-60.0,75.84708333333408,151.69416666666817,-5.0,86.13672222222169,86.13672222222169,-29.998239106986794,92.87379225857848,92.87379225857848,-5.0,82.13374999999988,82.13374999999988
108,0.03,-100.0,-60.0,75.85500000000076,151.71000000000151,-5.0,86.13799999999947,86.13799999999947,-29.998236271891532,92.88195844589093,92.88195844589092,-5.0,82.13499999999988,82.13499999999988
109,0.03027777777777778,-100.0,-60.0,75.86291666666743,151.72583333333486,-5.0,86.13927777777724,86.13927777777724,-29.99823340366144,92.89012463243161,92.89012463243162,-5.0,82.13624999999988,82.13624999999988
110,0.030555555555555555,-100.0,-60.0,75.8708333333341,151.7416666666682,-5.0,86.14055555555501,86.140555555555,-29.998230537876985,92.8982908181915,92.89829081819148,-5.0,82.13749999999987,82.13749999999987
111,0.030833333333333334,-100.0,-60.0,75.87875000000078,151.75750000000156,-5.0,86.14183333333278,86.14183333333278,-29.998227671538366,92.90645700317125,92.90645700317125,-5.0,82.13874999999987,82.13874999999987
112,0.03111111111111111,-100.0,-60.0,75.88666666666745,151.7733333333349,-5.0,86.14311111111056,86.14311111111056,-29.998224787832584,92.91462318737072,92.91462318737072,-5.0,82.13999999999987,82.13999999999987
113,0.03138888888888889,-100.0,-60.0,75.89458333333413,151.78916666666825,-5.0,86.14438888888833,86.14438888888833,-29.99822189729425,92.92278937078518,92.92278937078518,-5.0,82.14124999999987,82.14124999999987
114,0.03166666666666667,-100.0,-60.0,75.9025000000008,151.8050000000016,-5.0,86.1456666666661,86.14566666666612,-29.998218995319423,92.93095555341277,92.93095555341277,-5.0,82.14249999999987,82.14249999999987
115,0.03194444444444444,-100.0,-60.0,75.91041666666747,151.82083333333495,-5.0,86.14694444444387,86.14694444444387,-29.998216084434933,92.93912173525038,92.93912173525037,-5.0,82.14374999999987,82.14374999999987
116,0.03222222222222222,-100.0,-60.0,75.91833333333415,151.8366666666683,-5.0,86.14822222222165,86.14822222222165,-29.99821315860438,92.9472879162956,92.9472879162956,-5.0,82.14499999999987,82.14499999999987
117,0.0325,-100.0,-60.0,75.92625000000082,151.85250000000164,-5.0,86.14949999999942,86.14949999999942,-29.998210235272634,92.95545409654433,92.95545409654433,-5.0,82.14624999999987,82.14624999999987
118,0.03277777777777778,-100.0,-60.0,75.9341666666675,151.868333333335,-5.0,86.1507777777772,86.15077777777718,-29.998207300374787,92.96362027599727,92.96362027599727,-5.0,82.14749999999987,82.14749999999987
